fecha;Producto;Categoria;nit;nombre;apellido paterno;apellido materno;pago;numero_tarjeta;costo;cantidad;precio
04/05/2021 02:00;Juice - Mixed Fruit & Dry Fruits (B Natural);Beverages;4983721;Ana María;Castillo;Jimenez;visa;4041593010498820;17.33;2;18.29
04/05/2021 03:04;Neem Giloy (Amruta Balli) - Organically Grown (Fresho);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;visa;4041596151234550;0.59;1;1.49
04/05/2021 03:56;Capsicum - Diced (Fresho);Foodgrains, Oil & Masala;5839204;Fernando;Reyes;Rojas;visa;4041594885335890;5.15;3;5.89
04/05/2021 05:20;Kitchen Scrubber - Stainless Steel (Liao);Foodgrains, Oil & Masala;4958723;Gabriela;Morales;Paredes;mastercard;5108753677552340;10.67;2;11.59
04/05/2021 05:45;Soap Bar - Care (Lifebuoy);Bakery, Cakes & Dairy;5839204;Fernando;Reyes;Rojas;mastercard;5108752372298260;11.38;2;12.39
04/05/2021 06:58;Pre Mixed Cubes - Rat Killer (HIT);Fruits & Vegetables;4649382;Sofía;Delgado;Muños;americanexpress;374288563442549;13.22;1;14.69
04/05/2021 07:03;Permanent Marker Pen - Blue (Camlin);Snacks & Branded Foods;4983721;Ana María;Castillo;Jimenez;visa;4041598869758;2.81;1;3.99
04/05/2021 07:45;Cucumber (Fresho);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;americanexpress;374283491107967;4.17;1;4.89
04/05/2021 09:58;Happy Happy Choco-Chip Cookies (Parle);Snacks & Branded Foods;4763921;Juan;Pérez;Sosa;mastercard;5108753211196280;18.11;1;19.79
04/05/2021 15:51;Corn Flakes (Kelloggs);Bakery, Cakes & Dairy;5839204;Fernando;Reyes;Rojas;mastercard;5048370523083280;18.35;2;20.19
04/05/2021 16:13;Organic - Mustard/Sasive/Rai Yellow (bb Royal);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;mastercard;5048379752512880;12.45;3;14.09
04/05/2021 17:07;Dream Cream - Choco Vanilla Cream Biscuit - Cookie (Sunfeast);Snacks & Branded Foods;5492830;Valentina;Medina;Salinas;visa;4041594984149250;13.09;5;14.69
04/05/2021 19:57;Mad Angles - Very Peri Peri (Bingo);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;americanexpress;374288299677079;15.35;1;17.09
04/05/2021 23:06;Scrub Pad - Anti- Bacterial, Regular (Scotch brite);Cleaning & Household;4983721;Ana María;Castillo;Jimenez;mastercard;5048376045855900;8.17;3;8.89
05/05/2021 05:22;Treat Wafers - Chocolate (Britannia);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;visa;4041595178401830;6.15;1;7.49
05/05/2021 05:58;Corn Rings - Masala Mania (Crax);Snacks & Branded Foods;4763921;Juan;Pérez;Sosa;americanexpress;374288461042953;17.35;2;18.29
05/05/2021 07:40;Good Day Butter Cookies (Britannia);Snacks & Branded Foods;5892340;AndrÃ©s;García;Cruz;visa;4041590043782;3.76;2;4.79
05/05/2021 07:58;Chocos Corn Flakes (Kelloggs);Snacks & Branded Foods;5038271;Paula;Rojas;Estrada;americanexpress;374283070152186;2.02;1;2.59
